TF pair	Coregulation coefficient	#genes shared	List of genes shared
NRG1:MCM1	1.09203	11	CCP1:CDC6:ELO1:GLY1:IES6:RAM1:SPS4:UTR2:YDL089W:YEL045C:YOR315W
TOS8:PIP2	1.09225	5	CRC1:DCI1:HAM1:MRF1:PEX11
YAP1:YOX1	1.09244	16	BUD20:ENA1:MAK32:MRPL24:NMA2:PRP21:RCY1:RPL10:RSM10:SEC9:TRF4:YCR018CA:YDR084C:YFR017C:YMR258C:YPR002CA
GCN4:PHO4	1.09259	9	ILV1:PDR8:PHO8:STB1:TEA1:YER085C:YLR152C:YLR267W:YNL311C
HMLALPHA2:YAP5	1.09265	1	HMLALPHA1
STP4:TOS8	1.09277	1	YNL337W
MBP1:YAP6	1.09302	17	ACA1:ENA1:ERG26:FLO9:MAK32:MRPL24:RPA34:RPS0B:RSM10:SEN2:SPO73:YCR018CA:YDR084C:YJR011C:YLR047C:YLR297W:YMR258C
HMS2:ACE2	1.09517	2	UTH1:YKR040C
CYC8:MSN4	1.09589	1	SUC2
RTG3:CIN5	1.09599	10	ACO1:CPA1:ECM13:GNP1:HSP30:SED1:SMT3:YDR042C:YJR011C:YOR302W
MAL33:PUT3	1.09619	2	AAD3:ADH7
PHO2:ARO80	1.09667	2	ARO9:SPL2
SKN7:YAP7	1.09685	14	AHP1:ARG1:CYT2:DAL7:ISU2:MAK32:MRS4:SRX1:TCB2:TRX2:UBX6:YCR018CA:YLR108C:YOR227W
RDS1:HAL9	1.09697	1	YDR084C
STP1:AZF1	1.09709	1	YDR042C
INO2:PUT3	1.09745	3	ACS2:COT1:KEL2
PHO2:ASH1	1.09769	2	AAD3:SED1
RCS1:STB5	1.09829	6	CRM1:LIN1:REC104:TKL1:YDR084C:YPR076W
CHA4:TOS4	1.09856	4	HMLALPHA1:HMLALPHA2:TAZ1:VPS66
SMP1:ARR1	1.09986	1	VPS55
PLM2:ZAP1	1.09992	2	COS1:YRF11
SUM1:MET4	1.10047	1	GND2
YAP1:MAC1	1.10192	3	CTT1:MRM2:RPL1B
PUT3:MSN4	1.10247	10	AHP1:ATR1:CTR1:HSP104:MRS4:STB4:TSA1:YCR022C:YHR048W:YLR108C
YJL206C:BAS1	1.10253	1	YIL002WA
SKO1:RAP1	1.10308	2	HXT5:YHR033W
PHD1:HAL9	1.1035	3	MSN4:STB4:YKL063C
STE12:MAC1	1.10379	6	CUP9:HSP42:SRM1:VCX1:YAR009C:YLR035CA
RPN4:HAL9	1.10391	3	ERG26:YNL337W:YRF16
STE12:XBP1	1.10651	8	CLN1:FKS3:GIC2:SCW10:TCB2:UTH1:YKR040C:YMR304CA
MCM1:MOT3	1.10684	3	UTH1:YKR040C:YOR315W
HCM1:SIP4	1.10701	3	MAK32:PRO3:YCR018CA
RDS1:YAP7	1.10741	3	NFU1:PTM1:YDR084C
PHO2:UGA3	1.10754	2	ERG26:ZWF1
RPN4:ROX1	1.10836	9	ERG4:HSH49:PDR1:RNT1:YEL070W:YNL337W:YNL338W:YOR318C:YRF16
ARG80:RAP1	1.10969	2	CPA1:YOR302W
INO2:RIM101	1.11302	2	RNH202:YDR278C
NRG1:RTG1	1.11343	4	IDH2:MAK32:YCR018CA:YDR042C
MSS11:TYE7	1.11395	1	RSC58
CAD1:GCN4	1.11408	5	ATR1:HIS3:LAP4:MCH4:RRI2
PHO2:YAP1	1.11428	5	MCH4:MRPL4:YDR306C:YDR307W:ZWF1
CBF1:YAP7	1.11468	17	ARR2:ARR3:AZR1:CYS3:DAP1:DDP1:GSH1:HSV2:LSB6:MET16:OYE3:QCR6:RPN4:RTG2:YDL121C:YFH1:YRR1
INO2:GLN3	1.1147	3	ACS2:WTM1:YDR278C
DAL80:SOK2	1.11472	7	DAL4:DUR3:YDR544C:YNL337W:YNL338W:YRF11:YRF16
PDR3:SOK2	1.11536	3	HXT9:MRPL24:PDR5
FKH1:CHA4	1.11673	3	CHA1:VAC17:YMR144W
HSF1:MIG2	1.11719	3	FES1:RIF1:YLR042C
REB1:MIG1	1.11763	4	CAT8:GAL1:GAL10:SWI5
SUM1:LEU3	1.11781	2	YDR042C:YFR032C
AZF1:AFT2	1.11825	2	XBP1:YIR020C
GLN3:MAC1	1.11827	3	EGD2:MDM31:RPA34
HAP1:RLM1	1.11841	4	BSC3:RNH203:YLR463C:YRF15
STB5:ASH1	1.11894	1	YMR315W
PIP2:GAL4	1.11988	2	GAL1:GAL10
ARO80:MIG2	1.12082	1	HXT1
YJL206C:MAC1	1.12095	1	FET4
YFL044C:YAP7	1.12208	1	YNL260C
MBP1:NRG1	1.12225	18	ACA1:CDC6:ELO1:ENA1:ERG26:ERG4:FLO9:MAK32:MNN1:MOT3:PDR1:PDR16:RSM10:SPO73:YCR018CA:YFR017C:YMR258C:YPL056C
NRG1:RME1	1.12227	4	IME1:SFL1:YFR017C:YOR138C
STP1:PPR1	1.12296	1	YDR048C
HAP4:MET4	1.12315	2	INH1:MET14
YJL206C:PUT3	1.12365	2	FET4:FLO1
HCM1:LEU3	1.12415	7	ISU2:MAK32:YCR018CA:YNL337W:YOR227W:YPR109W:YRF16
HCM1:CUP9	1.12422	3	HXT15:RHO3:RPI1
RTG3:ADR1	1.12431	3	YDR084C:YDR210WD:YKL071W
UGA3:MIG2	1.12447	1	RIF1
REB1:ARO80	1.12473	4	ARF2:ATH1:CCL1:STB6
CAD1:GLN3	1.12536	3	LAP4:MCH4:YHB1
MET32:CUP9	1.12663	1	SED1
STB5:TYE7	1.12707	2	BIR1:YJR088C
TEC1:FKH1	1.12731	5	CWP2:MFA2:STE12:YKL097C:YOR315W
PLM2:YOX1	1.1292	25	APE3:AST2:COS3:DHH1:DMC1:PAC2:PEP5:PRS2:ROM1:RPS8B:SOL4:STE7:UBC6:UGA4:UME1:VMA13:YAR009C:YCS4:YDL211C:YDR544C:YER135C:YLL067C:YLR035CA:YML133C:YRF11
GLN3:AFT2	1.12965	8	EXO84:LAP4:MRPL4:RIX7:SIF2:YER189W:YLL033W:YRF12
HAL9:CIN5	1.13007	5	GPI14:YCR102C:YDR042C:YJR011C:YLR460C
GCN4:PHD1	1.13174	12	ATR1:BAP2:CYC8:GAT2:GID8:ICY1:RAD16:RBA50:STB4:TOS1:YIL056W:YSY6
RCS1:YML081W	1.13327	1	YDR042C
GLN3:MCM1	1.13367	7	CAR1:CLN3:PMA1:UTH1:YDR278C:YKR040C:YOR315W
HMLALPHA2:MSN4	1.13378	1	STE5
UME6:GCR1	1.13378	3	CDC19:ENO1:PGI1
MSN2:HMS1	1.13442	1	YDR042C
UME6:ASH1	1.13455	4	CDC34:INO1:PST1:YJL152W
SUM1:RAP1	1.13484	5	PPH22:SCP1:YDL186W:YOR365C:YRF11
UME6:ABF1	1.13546	21	ACS1:BCY1:CDC19:DHR2:ENO1:HOP1:HUA1:IOC2:KIN2:LCB1:POT1:PRC1:SSH1:SSZ1:ULP2:YAL053W:YBR284W:YDL193W:YIL032C:YNL149C:YTA7
MGA1:ROX1	1.13671	4	AAD3:ADH7:YER007CA:YOR315W
SFP1:RLM1	1.13681	2	RPA34:YOR315W
YOX1:MET31	1.13822	5	PLM2:RMD6:RPL37B:YDR042C:YEL073C
RTG3:SUM1	1.13864	3	SPS2:SRL2:YDR042C
MAL33:SWI4	1.13994	3	MRPL4:VID30:YFR017C
YAP6:ARG81	1.1402	3	FLO1:OYE2:YDR084C
RIM101:MAC1	1.14025	2	FET4:YPR109W
SWI5:PHO4	1.14085	6	LSM3:MRPL4:PUP2:YER078C:YER078WA:YER079W
RCS1:YRR1	1.14163	3	ATG7:PRP22:SOG2
TOS8:HAP4	1.14231	12	COS1:SDH1:YDR543C:YDR544C:YHL049C:YLL065W:YLL066C:YNL337W:YNL338W:YRF11:YRF16:YRF17
REB1:MCM1	1.14384	11	BET3:CDC19:CLB2:MET1:MF(ALPHA)2:MPE1:STB6:SWI5:TOA2:YBL059CA:YBL059W
UME6:ARG81	1.14495	3	CAR1:CAR2:SPS2
PHD1:MCM1	1.14618	8	CIS3:CLN3:GPA1:PCL1:PPN1:PRY1:UTR2:YHP1
RAP1:HAL9	1.14639	4	ADH1:MSN4:YKL063C:YRF16
RDS1:YOX1	1.1465	6	ERG1:VAB2:YDR084C:YEA4:YGL157W:YGR176W
REB1:UPC2	1.14713	3	MRPL10:PGK1:YJR100C
NDT80:HAP4	1.14797	1	KRE11
CHA4:HAP1	1.14828	3	ERG28:YER189W:YRF12
INO2:GCR1	1.14863	1	ENO1
YAP1:ARG81	1.14883	2	OYE2:YDR084C
RTG3:YAP3	1.14889	1	MRPL24
ARO80:MCM1	1.14924	3	GPA1:STB6:UTR2
PHO2:HSF1	1.14979	6	EDC2:HSP82:TDH3:YAR1:YBR085CA:YPR196W
SWI4:MET31	1.15035	3	MRPL4:PLM2:RPL37B
MBP1:YOX1	1.15061	30	CLB6:CLN2:ENA1:ERG26:FLO9:GDH3:HHF2:HHT2:MAK32:MKC7:MRPL24:PLM2:PUP3:RAD51:RNR4:RPL37B:RPS0B:RSM10:SPB1:SPO12:TAF12:YCR018CA:YDR084C:YFR017C:YGR110W:YHR151C:YJR011C:YLR047C:YMR258C:YPL056C
DAL81:HAP1	1.15114	7	CWP2:PUT1:SLS1:UTH1:YKL097C:YKR040C:YLR112W
MBP1:HAL9	1.15217	5	ERG26:MNN1:YDR084C:YJR011C:YMR258C
GZF3:YJL206C	1.1526	1	KRE11
YOX1:AZF1	1.153	4	IZH3:TRS31:YAR009C:YDR042C
MIG2:ASH1	1.15313	1	HXT6
RTG3:HSF1	1.15363	7	ARO1:BTN2:HOR7:HSP30:TIP41:YPR038W:YPR039W
HSF1:XBP1	1.15412	5	DPB2:HSP30:MGA1:YLR042C:YPR174C
SWI4:ARG80	1.15486	2	PPN1:YHP1
ACE2:HAP1	1.15502	7	ERG6:MSR1:UTH1:YAP1:YER189W:YKR040C:YRF12
HCM1:AFT2	1.15507	16	ENT2:HCR1:HMX1:ISU2:PAU4:PAU6:PRM4:YHL045W:YHL046C:YIR040C:YIR041W:YMR324C:YMR325W:YNL337W:YOR227W:YPL282C
PHO2:STB5	1.1554	2	YGR150C:YLR152C
HAP4:ARG81	1.15814	2	EGD2:MDM31
UPC2:RAP1	1.15915	3	PGK1:SCP1:YOR365C
IXR1:HAP4	1.15989	2	YBL029CA:YBL029W
HCM1:CAD1	1.16049	6	ARN1:MCH4:YDR132C:YHL039W:YLL065W:YLL066C
UPC2:STE12	1.16053	4	MNT3:YDR210WD:YER138C:YNR054C
YOX1:FKH2	1.1608	23	ABP140:ADH4:ASE1:DBF2:ERG26:KIN3:MNT2:OSH7:PLM2:PMP1:PTR2:PUP3:RAD51:RPL37B:SED1:SPB1:SPO12:SUT1:UTH1:YCR025C:YHR151C:YKR040C:YMR258C
BAS1:GCR1	1.1609	1	HIS4
SUM1:RLM1	1.16144	2	SPS4:YOR315W
PHO2:FKH1	1.16193	6	DEM1:OPT2:SEC28:YIL077C:YPR196W:ZRT1
SMP1:TOS8	1.16235	10	COS1:COS3:RIM101:YDR543C:YDR544C:YML133C:YNL337W:YNL338W:YRF11:YRF16
RIM101:DAL81	1.16248	4	GAT2:GID8:UTH1:YKR040C
XBP1:TOS4	1.16265	7	ACA1:DDR48:DPB2:UTH1:YMR172CA:YNL337W:YPR174C
ADR1:FKH1	1.16289	4	CDC7:ERP3:ESP1:TEL2
