TF-pair	Coregulation-coefficient	#genes shared	list of genes shared
IXR1:MSN4	0.37447	1	YDR084C
NRG1:MET4	0.3745	1	IES5
RTG3:ABF1	0.37464	4	IDH1:NCE103:YAP1801:YHR162W
SWI4:PUT3	0.37468	3	FTR1:LSM5:SPO20
TOS8:STB4	0.37477	1	YEL020C
RPN4:SOK2	0.37569	5	HYS2:YEL070W:YNL337W:YNL338W:YRF16
RCS1:PHD1	0.376	6	FET4:FTR1:LSM5:SPO20:STB4:ZMS1
GCN4:YAP5	0.37628	6	ARG4:ECM13:FRS2:GAT1:LEU9:TRP3
REB1:HSF1	0.37674	4	ACT1:HSC82:PIB1:RPA34
CUP9:FHL1	0.37758	1	RPL7B
MIG1:MCM1	0.37778	1	SWI5
THI2:HAP1	0.37824	1	ERG26
TOS4:RLM1	0.37859	2	AFR1:CRH1
RIM101:GAL4	0.37913	1	AAD3
GCN4:SWI6	0.37937	5	ATG13:GAT2:GID8:RBA50:YIL056W
REB1:ABF1	0.37971	7	ACS1:CDC19:ENO1:FAS1:REG1:RPO31:RPT5
RCS1:GTS1	0.38017	1	FRE2
STB5:FKH1	0.38021	1	GND1
ABF1:PIP2	0.38057	2	IDP2:POT1
YHP1:RTG1	0.3806	1	HMRA2
UME6:CIN5	0.38115	6	AGP1:DDR2:GNP1:IME1:KCC4:SMT3
GAT1:CBF1	0.38129	3	BUD27:CYS3:EPL1
RPH1:HAP4	0.38131	1	PRP3
SWI5:HAL9	0.38154	1	COS1
GLN3:GAT3	0.38202	1	YER189W
PLM2:CIN5	0.38253	6	BET4:CFT1:CYT2:MAD2:PRO1:SRX1
SUT1:YAP5	0.38269	2	AAC1:ECM13
GCN4:MSN4	0.38309	6	ATR1:HSP78:LYS20:STB4:TRP4:YDR084C
SWI5:ABF1	0.38376	5	ENO1:GPR1:PUP2:RPL2A:YDL032W
